time,open,high,low,close,CVD (Ouverture),CVD (Haut,CVD (Bas),CVD (Fermer)
2025-07-10T16:00:00+01:00,669.51,669.51,667.25,668.17,NaN,NaN,NaN,NaN
2025-07-10T17:00:00+01:00,668.16,672.37,667.85,672.04,NaN,NaN,NaN,NaN
2025-07-10T18:00:00+01:00,672.05,675.5,671.23,675.31,NaN,NaN,NaN,NaN
2025-07-10T19:00:00+01:00,675.32,677.12,673.47,675.58,NaN,NaN,NaN,NaN
2025-07-10T20:00:00+01:00,675.57,679,675.57,675.92,NaN,NaN,NaN,NaN
2025-07-10T21:00:00+01:00,675.92,677.1,675.6,676.4,NaN,NaN,NaN,NaN
2025-07-10T22:00:00+01:00,676.4,686.84,676.05,684.69,NaN,NaN,NaN,NaN
2025-07-10T23:00:00+01:00,684.68,687.7,684.2,687,NaN,NaN,NaN,NaN
2025-07-11T00:00:00+01:00,687.01,687.46,683.69,685.8,NaN,NaN,NaN,NaN
2025-07-11T01:00:00+01:00,685.8,690,683.81,687.93,0,NaN,NaN,NaN
2025-07-11T02:00:00+01:00,687.94,692,687.57,689.29,NaN,NaN,NaN,NaN
2025-07-11T03:00:00+01:00,689.29,690.74,688.1,690.23,NaN,NaN,NaN,NaN
2025-07-11T04:00:00+01:00,690.23,691.21,689.22,689.45,NaN,NaN,NaN,NaN
2025-07-11T05:00:00+01:00,689.44,689.58,687.5,689.39,NaN,NaN,NaN,NaN
2025-07-11T06:00:00+01:00,689.38,695,689.38,693.24,NaN,NaN,NaN,NaN
2025-07-11T07:00:00+01:00,693.24,694.88,687.86,688.18,NaN,NaN,NaN,NaN
2025-07-11T08:00:00+01:00,688.19,688.19,684.64,684.89,NaN,NaN,NaN,NaN
2025-07-11T09:00:00+01:00,684.89,688.13,684.57,688.1,NaN,NaN,NaN,NaN
2025-07-11T10:00:00+01:00,688.11,690.82,687.9,689.2,NaN,NaN,NaN,NaN
2025-07-11T11:00:00+01:00,689.2,689.99,688.63,689.3,NaN,NaN,NaN,NaN
2025-07-11T12:00:00+01:00,689.31,689.8,687.36,688.31,NaN,NaN,NaN,NaN
