time,open,high,low,close,CVD (Ouverture),CVD (Haut,CVD (Bas),CVD (Fermer)
2025-07-10T19:00:00+01:00,160.9,161.01,158.33,159.07,NaN,NaN,NaN,NaN
2025-07-10T20:00:00+01:00,159.06,159.67,158.67,159.34,NaN,NaN,NaN,NaN
2025-07-10T21:00:00+01:00,159.34,160.51,159.23,160.4,NaN,NaN,NaN,NaN
2025-07-10T22:00:00+01:00,160.39,164.33,160.28,163.83,NaN,NaN,NaN,NaN
2025-07-10T23:00:00+01:00,163.84,165.43,163.33,164.7,NaN,NaN,NaN,NaN
2025-07-11T00:00:00+01:00,164.69,165.23,163.28,164.34,NaN,NaN,NaN,NaN
2025-07-11T01:00:00+01:00,164.33,164.4,161.94,163.05,0,NaN,NaN,NaN
2025-07-11T02:00:00+01:00,163.05,164.81,162.96,164.49,NaN,NaN,NaN,NaN
2025-07-11T03:00:00+01:00,164.5,165.21,164.07,165,NaN,NaN,NaN,NaN
2025-07-11T04:00:00+01:00,164.99,165.4,164.01,165.22,NaN,NaN,NaN,NaN
2025-07-11T05:00:00+01:00,165.22,165.23,164.04,165,NaN,NaN,NaN,NaN
2025-07-11T06:00:00+01:00,165.01,166.8,164.94,165.28,NaN,NaN,NaN,NaN
2025-07-11T07:00:00+01:00,165.29,166,163.41,163.64,NaN,NaN,NaN,NaN
2025-07-11T08:00:00+01:00,163.64,164.3,163.14,163.27,NaN,NaN,NaN,NaN
2025-07-11T09:00:00+01:00,163.28,164.06,163.28,163.87,NaN,NaN,NaN,NaN
2025-07-11T10:00:00+01:00,163.88,165.38,163.66,164.81,NaN,NaN,NaN,NaN
2025-07-11T11:00:00+01:00,164.81,165.21,164.18,164.79,NaN,NaN,NaN,NaN
2025-07-11T12:00:00+01:00,164.8,165.08,163.58,163.87,NaN,NaN,NaN,NaN
2025-07-11T13:00:00+01:00,163.88,165.25,163.34,165.25,NaN,NaN,NaN,NaN
2025-07-11T14:00:00+01:00,165.24,166.94,164.3,166.4,NaN,NaN,NaN,NaN
2025-07-11T15:00:00+01:00,166.41,168.2,165.25,166.64,NaN,NaN,NaN,NaN
2025-07-11T16:00:00+01:00,166.63,166.86,161.78,162.34,NaN,NaN,NaN,NaN
2025-07-11T17:00:00+01:00,162.34,163.24,161.27,163.22,NaN,NaN,NaN,NaN
2025-07-11T18:00:00+01:00,163.22,164.48,163,164.47,NaN,NaN,NaN,NaN
2025-07-11T19:00:00+01:00,164.47,165.03,163.6,164.39,NaN,NaN,NaN,NaN
2025-07-11T20:00:00+01:00,164.4,164.63,163.3,164.58,NaN,NaN,NaN,NaN
2025-07-11T21:00:00+01:00,164.58,164.83,162.62,162.7,NaN,NaN,NaN,NaN
2025-07-11T22:00:00+01:00,162.7,163.12,161.37,162.13,NaN,NaN,NaN,NaN
2025-07-11T23:00:00+01:00,162.14,162.63,159.54,161.68,NaN,NaN,NaN,NaN
2025-07-12T00:00:00+01:00,161.68,163.01,161.61,162.93,NaN,NaN,NaN,NaN
2025-07-12T01:00:00+01:00,162.92,163.37,161.78,163.01,0,NaN,NaN,NaN
2025-07-12T02:00:00+01:00,163,163.79,163,163.44,NaN,NaN,NaN,NaN
2025-07-12T03:00:00+01:00,163.45,163.9,162.85,162.97,NaN,NaN,NaN,NaN
2025-07-12T04:00:00+01:00,162.96,163.64,162.84,163.45,NaN,NaN,NaN,NaN
2025-07-12T05:00:00+01:00,163.46,163.64,162.21,162.51,NaN,NaN,NaN,NaN
2025-07-12T06:00:00+01:00,162.52,163.19,162.03,163.02,NaN,NaN,NaN,NaN
2025-07-12T07:00:00+01:00,163.01,163.62,162.46,163.47,NaN,NaN,NaN,NaN
2025-07-12T08:00:00+01:00,163.47,163.84,162.75,163.22,NaN,NaN,NaN,NaN
2025-07-12T09:00:00+01:00,163.21,163.43,162.16,162.65,NaN,NaN,NaN,NaN
2025-07-12T10:00:00+01:00,162.65,162.99,162.28,162.66,NaN,NaN,NaN,NaN
2025-07-12T11:00:00+01:00,162.65,163.15,162.3,163.01,NaN,NaN,NaN,NaN
2025-07-12T12:00:00+01:00,163.01,163.02,161.41,161.62,NaN,NaN,NaN,NaN
2025-07-12T13:00:00+01:00,161.62,161.81,158.76,159.8,NaN,NaN,NaN,NaN
2025-07-12T14:00:00+01:00,159.79,159.79,158.33,159.71,NaN,NaN,NaN,NaN
2025-07-12T15:00:00+01:00,159.72,160.49,158.86,159.13,NaN,NaN,NaN,NaN
2025-07-12T16:00:00+01:00,159.12,159.59,157.74,158.14,NaN,NaN,NaN,NaN
2025-07-12T17:00:00+01:00,158.14,159.45,157.93,158.72,NaN,NaN,NaN,NaN
2025-07-12T18:00:00+01:00,158.72,160.62,158.67,160.45,NaN,NaN,NaN,NaN
2025-07-12T19:00:00+01:00,160.45,160.7,159.8,160.29,NaN,NaN,NaN,NaN
