time,open,high,low,close,CVD (Ouverture),CVD (Haut,CVD (Bas),CVD (Fermer)
2025-07-10T07:00:00+01:00,2.4197,2.4216,2.4109,2.4203,NaN,NaN,NaN,NaN
2025-07-10T08:00:00+01:00,2.4202,2.4425,2.4172,2.437,NaN,NaN,NaN,NaN
2025-07-10T09:00:00+01:00,2.437,2.458,2.4347,2.4498,NaN,NaN,NaN,NaN
2025-07-10T10:00:00+01:00,2.4498,2.4564,2.4419,2.4441,NaN,NaN,NaN,NaN
2025-07-10T11:00:00+01:00,2.444,2.4448,2.4266,2.442,NaN,NaN,NaN,NaN
2025-07-10T12:00:00+01:00,2.4421,2.4618,2.4366,2.4525,NaN,NaN,NaN,NaN
2025-07-10T13:00:00+01:00,2.4526,2.453,2.4388,2.4439,NaN,NaN,NaN,NaN
2025-07-10T14:00:00+01:00,2.4439,2.45,2.4233,2.4271,NaN,NaN,NaN,NaN
2025-07-10T15:00:00+01:00,2.4271,2.4429,2.4188,2.4407,NaN,NaN,NaN,NaN
2025-07-10T16:00:00+01:00,2.4406,2.4597,2.4316,2.4542,NaN,NaN,NaN,NaN
2025-07-10T17:00:00+01:00,2.4543,2.4795,2.4466,2.4744,NaN,NaN,NaN,NaN
2025-07-10T18:00:00+01:00,2.4744,2.5018,2.4727,2.4966,NaN,NaN,NaN,NaN
2025-07-10T19:00:00+01:00,2.4966,2.5122,2.4819,2.4887,NaN,NaN,NaN,NaN
2025-07-10T20:00:00+01:00,2.4887,2.5029,2.4884,2.5003,NaN,NaN,NaN,NaN
2025-07-10T21:00:00+01:00,2.5003,2.5136,2.4921,2.5009,NaN,NaN,NaN,NaN
2025-07-10T22:00:00+01:00,2.5008,2.5678,2.4974,2.546,NaN,NaN,NaN,NaN
2025-07-10T23:00:00+01:00,2.546,2.5561,2.5286,2.5464,NaN,NaN,NaN,NaN
2025-07-11T00:00:00+01:00,2.5464,2.5549,2.5299,2.5471,NaN,NaN,NaN,NaN
2025-07-11T01:00:00+01:00,2.5471,2.5472,2.5119,2.5277,0,NaN,NaN,NaN
2025-07-11T02:00:00+01:00,2.5277,2.5539,2.5258,2.5534,NaN,NaN,NaN,NaN
2025-07-11T03:00:00+01:00,2.5535,2.5929,2.5483,2.5883,NaN,NaN,NaN,NaN
2025-07-11T04:00:00+01:00,2.5884,2.5899,2.5657,2.5764,NaN,NaN,NaN,NaN
2025-07-11T05:00:00+01:00,2.5763,2.5763,2.5551,2.5752,NaN,NaN,NaN,NaN
2025-07-11T06:00:00+01:00,2.5751,2.5985,2.5746,2.5824,NaN,NaN,NaN,NaN
2025-07-11T07:00:00+01:00,2.5824,2.597,2.5642,2.5711,NaN,NaN,NaN,NaN
2025-07-11T08:00:00+01:00,2.5712,2.597,2.5536,2.5792,NaN,NaN,NaN,NaN
2025-07-11T09:00:00+01:00,2.5791,2.6017,2.5791,2.587,NaN,NaN,NaN,NaN
2025-07-11T10:00:00+01:00,2.5869,2.6141,2.579,2.6132,NaN,NaN,NaN,NaN
2025-07-11T11:00:00+01:00,2.6132,2.6511,2.6073,2.6472,NaN,NaN,NaN,NaN
2025-07-11T12:00:00+01:00,2.6473,2.6607,2.6066,2.6287,NaN,NaN,NaN,NaN
2025-07-11T13:00:00+01:00,2.6287,2.6966,2.625,2.6952,NaN,NaN,NaN,NaN
2025-07-11T14:00:00+01:00,2.6953,2.8254,2.6723,2.8007,NaN,NaN,NaN,NaN
2025-07-11T15:00:00+01:00,2.8007,2.8392,2.7396,2.8238,NaN,NaN,NaN,NaN
2025-07-11T16:00:00+01:00,2.8237,2.975,2.7588,2.7724,NaN,NaN,NaN,NaN
2025-07-11T17:00:00+01:00,2.7724,2.8097,2.6919,2.7856,NaN,NaN,NaN,NaN
2025-07-11T18:00:00+01:00,2.7856,2.8163,2.7533,2.7991,NaN,NaN,NaN,NaN
2025-07-11T19:00:00+01:00,2.799,2.8416,2.797,2.8329,NaN,NaN,NaN,NaN
2025-07-11T20:00:00+01:00,2.8329,2.858,2.8037,2.858,NaN,NaN,NaN,NaN
2025-07-11T21:00:00+01:00,2.858,2.858,2.7572,2.7575,NaN,NaN,NaN,NaN
2025-07-11T22:00:00+01:00,2.7575,2.7758,2.7092,2.7405,NaN,NaN,NaN,NaN
2025-07-11T23:00:00+01:00,2.7404,2.7527,2.6596,2.7014,NaN,NaN,NaN,NaN
2025-07-12T00:00:00+01:00,2.7014,2.7419,2.6971,2.7322,NaN,NaN,NaN,NaN
2025-07-12T01:00:00+01:00,2.7323,2.7452,2.6882,2.7202,0,NaN,NaN,NaN
2025-07-12T02:00:00+01:00,2.7202,2.8305,2.7202,2.8235,NaN,NaN,NaN,NaN
2025-07-12T03:00:00+01:00,2.8235,2.8479,2.792,2.7923,NaN,NaN,NaN,NaN
2025-07-12T04:00:00+01:00,2.7923,2.8222,2.7875,2.8006,NaN,NaN,NaN,NaN
2025-07-12T05:00:00+01:00,2.8006,2.8063,2.7696,2.7748,NaN,NaN,NaN,NaN
2025-07-12T06:00:00+01:00,2.7749,2.799,2.7616,2.7888,NaN,NaN,NaN,NaN
2025-07-12T07:00:00+01:00,2.7888,2.7965,2.7656,2.7918,NaN,NaN,NaN,NaN
2025-07-12T08:00:00+01:00,2.7918,2.7942,2.7558,2.7675,NaN,NaN,NaN,NaN
2025-07-12T09:00:00+01:00,2.7675,2.7929,2.7658,2.7903,NaN,NaN,NaN,NaN
2025-07-12T10:00:00+01:00,2.7903,2.8253,2.7823,2.8211,NaN,NaN,NaN,NaN
2025-07-12T11:00:00+01:00,2.821,2.8466,2.8097,2.8367,NaN,NaN,NaN,NaN
2025-07-12T12:00:00+01:00,2.8368,2.8476,2.7972,2.8054,NaN,NaN,NaN,NaN
2025-07-12T13:00:00+01:00,2.8054,2.8087,2.7555,2.7865,NaN,NaN,NaN,NaN
2025-07-12T14:00:00+01:00,2.7865,2.7901,2.7485,2.7759,NaN,NaN,NaN,NaN
2025-07-12T15:00:00+01:00,2.776,2.7982,2.7522,2.7566,NaN,NaN,NaN,NaN
2025-07-12T16:00:00+01:00,2.7566,2.768,2.6629,2.6812,NaN,NaN,NaN,NaN
2025-07-12T17:00:00+01:00,2.6813,2.7252,2.6701,2.7069,NaN,NaN,NaN,NaN
2025-07-12T18:00:00+01:00,2.707,2.74,2.7044,2.7241,NaN,NaN,NaN,NaN
2025-07-12T19:00:00+01:00,2.724,2.7454,2.7188,2.7397,NaN,NaN,NaN,NaN
2025-07-12T20:00:00+01:00,2.7396,2.7534,2.7263,2.737,NaN,NaN,NaN,NaN
2025-07-12T21:00:00+01:00,2.737,2.7373,2.6841,2.6843,NaN,NaN,NaN,NaN
2025-07-12T22:00:00+01:00,2.6842,2.7364,2.6837,2.727,NaN,NaN,NaN,NaN
2025-07-12T23:00:00+01:00,2.7271,2.738,2.7055,2.7379,NaN,NaN,NaN,NaN
2025-07-13T00:00:00+01:00,2.7379,2.7484,2.7213,2.7395,NaN,NaN,NaN,NaN
2025-07-13T01:00:00+01:00,2.7395,2.7559,2.7232,2.7391,0,NaN,NaN,NaN
2025-07-13T02:00:00+01:00,2.739,2.7669,2.7339,2.7612,NaN,NaN,NaN,NaN
2025-07-13T03:00:00+01:00,2.7613,2.7859,2.7426,2.7762,NaN,NaN,NaN,NaN
2025-07-13T04:00:00+01:00,2.7763,2.7838,2.7623,2.7684,NaN,NaN,NaN,NaN
2025-07-13T05:00:00+01:00,2.7684,2.7839,2.7583,2.7808,NaN,NaN,NaN,NaN
2025-07-13T06:00:00+01:00,2.7808,2.7875,2.7707,2.7707,NaN,NaN,NaN,NaN
2025-07-13T07:00:00+01:00,2.7707,2.8144,2.7677,2.7925,NaN,NaN,NaN,NaN
2025-07-13T08:00:00+01:00,2.7926,2.8078,2.7858,2.7992,NaN,NaN,NaN,NaN
2025-07-13T09:00:00+01:00,2.7991,2.8202,2.7834,2.794,NaN,NaN,NaN,NaN
2025-07-13T10:00:00+01:00,2.7941,2.8023,2.771,2.7767,NaN,NaN,NaN,NaN
2025-07-13T11:00:00+01:00,2.7766,2.7967,2.7716,2.776,NaN,NaN,NaN,NaN
2025-07-13T12:00:00+01:00,2.776,2.7919,2.776,2.7889,NaN,NaN,NaN,NaN
2025-07-13T13:00:00+01:00,2.7888,2.8286,2.7825,2.8211,NaN,NaN,NaN,NaN
2025-07-13T14:00:00+01:00,2.8211,2.8558,2.7988,2.8322,NaN,NaN,NaN,NaN
2025-07-13T15:00:00+01:00,2.8322,2.8949,2.8251,2.8442,NaN,NaN,NaN,NaN
2025-07-13T16:00:00+01:00,2.8443,2.8734,2.8082,2.8381,NaN,NaN,NaN,NaN
2025-07-13T17:00:00+01:00,2.8381,2.852,2.8123,2.8237,NaN,NaN,NaN,NaN
2025-07-13T18:00:00+01:00,2.8237,2.8628,2.8115,2.8603,NaN,NaN,NaN,NaN
2025-07-13T19:00:00+01:00,2.8604,2.8817,2.8459,2.86,NaN,NaN,NaN,NaN
2025-07-13T20:00:00+01:00,2.8601,2.88,2.8441,2.8456,NaN,NaN,NaN,NaN
2025-07-13T21:00:00+01:00,2.8456,2.8648,2.8329,2.8487,NaN,NaN,NaN,NaN
2025-07-13T22:00:00+01:00,2.8487,2.8495,2.7637,2.8018,NaN,NaN,NaN,NaN
2025-07-13T23:00:00+01:00,2.8017,2.8252,2.7883,2.8151,NaN,NaN,NaN,NaN
2025-07-14T00:00:00+01:00,2.815,2.8424,2.8125,2.8361,NaN,NaN,NaN,NaN
2025-07-14T01:00:00+01:00,2.8361,2.8486,2.8207,2.8464,0,NaN,NaN,NaN
2025-07-14T02:00:00+01:00,2.8463,2.8767,2.8386,2.8554,NaN,NaN,NaN,NaN
2025-07-14T03:00:00+01:00,2.8554,2.8967,2.8499,2.8871,NaN,NaN,NaN,NaN
